,frequency
hard to kill but,7
on strategy against,7
not trying to set,7
not the case here,7
on taking the,7
on that,7
on the comms just,7
my intentions,7
have gone much,7
is probably somewhat,7
starting to,7
need to present,7
ll probably make,7
initially sided with,7
rn promise,7
me if you want,7
that they haven been,7
me if you don,7
hope we can both,7
have not talked,6
italy greece,6
lon to watch your,6
is exhausting for other,6
have our backs,6
london for long time,6
lmao just glanced at,6
not losing of,6
mun ber kie nwy,6
mad,6
re willing to give,6
protecting bulgaria,6
mad at me,6
taking sweden so things,6
option would be,6
is fast,6
logged out for the,6
move faster we could,6
impacted the study,6
sorry forgot that,6
thinking of using bel,6
im just,6
made it,6
lmk his plans,6
or 12,6
mun you can,6
london in,6
munich but he hasn,6
have mentor,6
mite hypocritical of,6
losing center,6
good to hear,6
im taking portugal why,6
mun pie tus ven,6
good to me,6
of your hair,6
or until you,6
italy confirmed,6
or two explain england,6
really fight russia from,6
sorry didnt trust you,6
moment no opportunity for,6
or someplace,6
hes going,6
loose cannon,6
recently arrived at the,6
or sil right,6
is lie but hoping,6
says you know,6
norway it might be,6
or you can hoist,6
italy away,6
is going to very,6
london unless,6
not only,6
is gonna roll,6
long as possible,6
long as there an,6
mun bur ber kie,6
pretty civil if little,6
have my arm,6
montana so might not,6
of the common,6
far before that,6
to just,6
munich holds,6
realistically get to,6
loss of portugal which,6
so if youd,6
of allowing us to,6
have more than one,6
into trieste which,6
in 10,6
just be better to,6
me favor and see,6
me for all the,6
juggernaut but pretty much,6
go to bed early,6
move past it,6
silence is uncertainty and,6
on the sarcasm may,6
swap,6
me if they re,6
should be trying,6
not certain of,6
on the eastern half,6
prefer my units,6
it strange,6
noted,6
no help,6
position will,6
risk me catching the,6
right now yes,6
position both to,6
of russia and,6
into fucking ukraine for,6
once he done,6
of info,6
into effectively all,6
nail,6
italy takes most,6
moving east too,6
rid of,6
ok and then proceeded,6
mentor or,6
in position to aim,6
in position to drop,6
me as his,6
hol so,6
me as too,6
position against turkey while,6
position you could,6
gas at,6
rounds,6
no expert,6
me to forward deploy,6
me to get,6
move you would also,6
gives it,6
its first to,6
me to know if,6
no expert but to,6
move ven pie,6
have to use,6
russia and one other,6
me to support him,6
dont really know what,6
mean it,6
it very hard for,6
me well,6
move to silesia,6
of our borders,6
mean really didn expect,6
sweden and norway,6
positioning relative to germany,6
rounds see them being,6
holland undefended,6
hopes,6
positioned to start hitting,6
talks secret,6
on mun which you,6
nao nwg,6
the initial gain,6
in trie but ill,6
on it,6
mean they seem to,6
honestly has been,6
me these days which,6
on having double,6
me things,6
russia at the,6
in my book been,6
maybe you could work,6
make it to,6
his tracks by,6
make up for taking,6
supports galicia to,6
just got the,6
never bother england,6
just got less fun,6
myself into gre,6
sevastopol warsaw galicia silesia,6
it pivotal for us,6
never go,6
france against,6
smooshing russia so effectively,6
never had any plans,6
manage to let turkey,6
much from england,6
manipulation of,6
but if you don,6
much for the,6
supports bur,6
italy have been,6
italy have any,6
is an clearly,6
make it to 1910,6
is classic tactic,6
myself and,6
much threat unless you,6
make move either direction,6
pleasure,6
the risk,6
same moves we did,6
much rather,6
he sending his,6
same moves we,6
down quick though,6
never as,6
min if you wana,6
same idea well except,6
much rather work,6
much every russia would,6
point that we,6
much else near,6
of someone else,6
new plan comes,6
one of,6
in marseilles france,6
may hit ukraine,6
may not feel pressured,6
middle,6
may not have the,6
poker saying,6
of german centers to,6
maybe but there,6
resolve the east before,6
just come,6
italy or germany,6
maybe move,6
maybe move towards wes,6
italy or put pressure,6
pointed out that england,6
into those,6
much easier,6
might be lost,6
much can keep,6
move into swe and,6
mao lon nwy,6
in gal but if,6
might deploy full strength,6
how your,6
map shows that one,6
marginally,6
masterfully,6
move is to,6
how you like to,6
russians into staying put,6
cause you had said,6
replace it with my,6
crumble really,6
the best signal,6
ocean to england,6
on at least one,6
so none of,6
strategy might use in,6
im at your,6
my east for little,6
seen that coming,6
need to disband it,6
pretty worried about you,6
issue with ion,6
is what ill,6
like to start,6
person and,6
out without,6
it wouldn,6
left to,6
it for myself and,6
keep russia contained in,6
re moving,6
they gave up the,6
it is to predict,6
leave parts of our,6
more we,6
so no specifics but,6
petersburg this,6
path forward or dealt,6
least hasnt made the,6
ll be depending on,6
head back to war,6
now encouraged,6
know any of,6
perhaps we should,6
help me take sweden,6
france told me that,6
least supply,6
liverpool last turn and,6
live,6
my best guess is,6
past each,6
nth but then,6
my ally right now,6
ll be well,6
let me know where,6
out convoy and basically,6
if you ever get,6
lets,6
from england before making,6
seems like this turn,6
likely explanation,6
likely end up with,6
pick,6
do tactical pull,6
let you know if,6
let me put,6
hahahaha it was sweet,6
it all depends,6
likely break up,6
my russian assault then,6
seeing made me,6
see you leave,6
if you move,6
pain in the ass,6
hand that depends,6
lied to russia,6
north sea it,6
hel in if,6
of trust that,6
lepanto by prepping,6
paradigm,6
know who is going,6
is to work,6
if they send,6
lepanto if it,6
it will be grind,6
know why you only,6
re just so thirsty,6
places to go,6
likely to alter,6
rarely able,6
overcomes,6
nwg nwy,6
need to pick,6
doorstep as well as,6
need to keep,6
not responding due to,6
re telling the truth,6
like denmark,6
like sheep and will,6
hard to expect he,6
england in check,6
putting an army,6
re right but an,6
now good with short,6
ll have much luck,6
im cool with that,6
of their,6
then follow,6
ll just tell you,6
see that not,6
nwg nth hel,6
heads against,6
ll leave the austrians,6
nwy bar,6
kinda putting yourself,6
of their cordon,6
of upgrading,6
punch through his line,6
if germany makes similar,6
of where,6
it is unfortunate,6
north to me,6
he can quite get,6
have good night,6
so lot,6
keeping him unaware,6
knew,6
need to present united,6
of the numbers,6
if we want,6
must keep,6
like he said so,6
isn going to,6
keep our stories straight,6
knows he can save,6
needed confirmation,6
kill italy fast,6
terrible move,6
maybe italy,5
may not feel,5
in multiway,5
one idea we could,5
me some life in,5
of going after france,5
let you know in,5
now he,5
speculative though,5
in exchange for peace,5
germany bal kie lvn,5
seems unlikely but guess,5
isn accomplishing anything in,5
if you pick,5
into munich,5
know what on your,5
second successful case being,5
guys he talked into,5
letting germany move,5
letting him,5
moving to clyde,5
his end,5
not this one,5
not see,5
first agreement just,5
current fer alliance,5
key or speed lepanto,5
no plans to,5
issues with france,5
resolving their,5
rum and then you,5
into rom,5
relative,5
letting friend know,5
italy is someone,5
in exchange for help,5
his fleet and,5
letting germany,5
moving to spain,5
like he said,5
ive asked,5
his chances,5
much better for you,5
just concerned about,5
invalid orders so don,5
my dream is to,5
me stabbing,5
quite often quickly,5
only problem being,5
now can,5
point while would in,5
gal and suggest,5
one unit so can,5
raising suspicions of,5
now thanks to your,5
much as austria unfortunately,5
mao is destined,5
sabotaging me in the,5
though but with,5
sliding back south,5
keeping you guys,5
night and,5
nap,5
share that,5
normal things that,5
said anything to me,5
rarely,5
terribly coherent,5
primarily land,5
mao to go,5
of experience and have,5
rather be in tyrolia,5
italy just messaged,5
it yeah,5
had like zero interactions,5
need to use,5
radio silent and pretty,5
second place frankly,5
if move gal,5
know what you re,5
matters if say you,5
stand,5
lied to either you,5
lied to me,5
in lvp to,5
much else,5
it was supposed,5
of england builds,5
of england builds which,5
how the other,5
mao and he says,5
isn an issue,5
new main front,5
it would remove the,5
on italy moves,5
marvelous position to,5
it putting lot of,5
slightly rocky,5
nations would be,5
like england,5
like either to cut,5
need to try,5
keeps ion from,5
have already made deal,5
helps out,5
russia than you put,5
quite nervous,5
on the ropes turn,5
it sounds,5
me of his change,5
if we fall,5
question is what,5
me ignoring,5
in russia,5
need to protect,5
need to prevent the,5
moves he,5
if you are,5
start just see you,5
on the france,5
give me some of,5
need to pick your,5
rounds see them,5
the marriage of this,5
me or am,5
it and rebuild,5
russia is in really,5
right to,5
happy to attack,5
more we ll have,5
passed that up in,5
seems like england dropped,5
germany and get,5
ruh bur,5
moscow now since,5
position for chance,5
me have disband this,5
take five,5
take either bul,5
russia is planning,5
least long enough to,5
can trust me,5
my intentions in the,5
need to in order,5
me into mar,5
not confident that it,5
inferior result when,5
launch an army,5
on russia in the,5
north unless,5
that england will move,5
the armies to spare,5
move super fast since,5
last turn we would,5
people were more,5
putting an,5
position with,5
on path,5
on outside communications,5
of moves that,5
larger plan,5
launch an army into,5
on serbia,5
noted understood,5
in smyrna to,5
me into portugal or,5
foreign fleet,5
jewel of the north,5
if we fall for,5
putting it in kiel,5
perfectly frank kinda happy,5
not so sure,5
see that not only,5
prefer it,5
moves plan,5
not so sure you,5
the lepanto works,5
influencing people on the,5
in swe,5
ruh in spring,5
intend to build fleet,5
me or blast,5
par won go through,5
my forces to the,5
my french front,5
let definitely talk next,5
quietly,5
not because of,5
like me,5
me position,5
less threatening than thought,5
dude am,5
if you dont want,5
france would have no,5
nasty stalemate,5
short term imho,5
revealed will keep them,5
in our negotiations,5
in my direction,5
the best moves,5
if russia plans to,5
ensure youd get mun,5
then the double,5
of sharp,5
take more proactive role,5
know who you,5
hahaha ok ll keep,5
just because you didn,5
meaningless,5
need to stress,5
the netherlands and beyond,5
offering me ank,5
offline since,5
let me position,5
in munich,5
in my book,5
revealing that you,5
