,frequency
in working out peace,2
sabotaging my,2
russian bla ank rum,2
incorrectly inferred from,2
russia you and plug,2
russia turkey so,2
ruh to bel,2
ruh bur par,2
room,2
it,2
is why,2
remember,2
remains of russia,2
reincarnated as final northern,2
regards to galicia,2
regarding sev id,2
it badly enough,2
is well so,2
it because,2
redeploy west,2
redeploy,2
it better,2
it better to,2
it cool for fall,2
is what he,2
is very,2
rom tys ion,2
is if,2
risking the,2
is going to,2
is great call,2
is great call here,2
is hella,2
is hella out,2
is it to be,2
is too big risk,2
is little more,2
is moving,2
revenging on germany or,2
restored to cp,2
response gonna finish building,2
is that if,2
we should work towards,2
not able to move,2
at whatever he sent,2
and join against france,2
agree to an,2
arrangement,2
as to,2
are not going,2
won be,2
you moving to tyrolia,2
were you but don,2
you move up right,2
where their best move,2
and are past the,2
another fleet,2
and would want,2
and it makes me,2
with england or,2
you can walk,2
you in from,2
would have,2
at least for,2
and ideally,2
with one fleet in,2
among them at,2
you ended our,2
are just,2
and get,2
you feel about supporting,2
are planning something funky,2
at least lie,2
well that was kinda,2
and had you slated,2
and focus on,2
as general road map,2
you get them,2
and him getting fed,2
you got,2
work on the build,2
back into,2
austria going to,2
why the success of,2
and ve,2
with bal bot nwy,2
as someone who can,2
aeg and bul russian,2
would be,1
sabotaging,1
rum correct,1
works for,1
russo turkish mess,1
rum if,1
rum if you,1
russo turkish,1
sabotaging me in,1
russo,1
works for me,1
works if,1
rum if you want,1
rum it,1
sabotaging me,1
sabotaging me in the,1
russians up,1
works,1
working with you this,1
working with you,1
working with russia so,1
working with russia,1
sabotaging my ability to,1
rum at the same,1
rum at the,1
safe,1
working with,1
safe because,1
working together or you,1
safe because wales,1
safe because wales can,1
russians up north,1
russians,1
would be happy,1
worried about germany and,1
russia turkey,1
rum on,1
russia train now haha,1
worried about germany,1
would be greatly appreciated,1
would be greatly,1
russia tough that all,1
russia turkey so do,1
would be great for,1
russia tough that,1
russia tough,1
worried about me,1
worried about me going,1
worried that,1
worried about england holding,1
worried about england,1
rum it could,1
russian bla,1
rum it could assure,1
russian relations after the,1
russian relations after,1
russian relations,1
works if we,1
russian bla ank,1
works if we give,1
russia which wasn,1
russian,1
worried,1
worried about,1
russia you and,1
russia you,1
russia which wasn the,1
working together or not,1
safe no,1
russia told,1
said just,1
said let revisit,1
would be if,1
said let,1
working together,1
said just looking at,1
said just looking,1
said isn thought you,1
said she,1
said isn thought,1
would be happy to,1
rum and get,1
said isn,1
said is,1
said he wants to,1
said let revisit it,1
said she wants,1
said he wants,1
said that knowing this,1
same,1
said to england,1
said to,1
said they are busy,1
said they are,1
said they,1
said that knowing,1
ruined the moment didn,1
said that he at,1
said that he,1
said that attacking austria,1
said that attacking,1
said that,1
said she wants brest,1
rum and get stuck,1
said he,1
working together or,1
said about,1
working together and him,1
working together but,1
said an arrangement,1
said an,1
said about general expectations,1
said about general,1
said,1
working together and,1
safer,1
safe to not do,1
rum at,1
safe to not,1
safe to,1
working together but my,1
rum and then build,1
rum and then,1
said don think we,1
said but munich,1
said don think,1
said don,1
said do want to,1
said do want,1
said do,1
said but munich is,1
said but,1
said anything,1
said as much to,1
said as much,1
said as,1
said anything to them,1
said anything to me,1
said anything to,1
worried that the,1
russia together from there,1
worried that the austrians,1
russia for rum at,1
worst maybe too,1
russia has,1
russia had the right,1
russia had the,1
russia had,1
rumour,1
russia for rum,1
worst,1
russia for,1
rumour has,1
russia doesnt build stp,1
russia doesnt build,1
russia doesnt,1
russia but evaded that,1
worst maybe,1
russia has been,1
run,1
russia is,1
russia is gonna,1
russia is going to,1
russia is going,1
russia is done,1
russia is busy it,1
russia is busy,1
russia in scandinavia,1
worry about you can,1
would be able,1
russia in,1
worry about england,1
russia has been trying,1
worry about england as,1
worry about you,1
russia but evaded,1
russia but,1
russia austria,1
would,1
russia,1
running the longer escape,1
running the longer,1
running the,1
running,1
run out at some,1
run out,1
russia apart ill be,1
would actually,1
would actually read,1
run as an alliance,1
run as an,1
would actually read my,1
run as,1
russia about,1
russia about the,1
russia about the south,1
russia and,1
russia and looking,1
russia and looking forward,1
rumour has it that,1
russia and making,1
worst maybe too likely,1
rumour has it,1
russia and making push,1
russia and one,1
russia and one other,1
russia and see,1
russia and see if,1
russia apart,1
russia apart ill,1
russia is gonna roll,1
rumania from bulgaria you,1
russia is up,1
russia says hes supporting,1
russia so effectively,1
worried too but all,1
russia so,1
would be great,1
russia size makes,1
russia size,1
worries,1
russia out,1
russia says,1
russia paradigm often ends,1
russia paradigm often,1
russia paradigm,1
russia out from the,1
russia out from,1
russia so good,1
russia so good luck,1
worried too but,1
worried too,1
russia though,1
russia though not,1
russia though not sure,1
russia to,1
russia to be,1
russia to be as,1
russia to go,1
russia to go deal,1
russia to help,1
russia to help with,1
rum or similar,1
russia together,1
russia together from,1
would be difficult to,1
russia or turkey or,1
russia is up to,1
russia isn talking and,1
rumania and presumably you,1
russia just confirmed,1
russia just acting normally,1
rumania from,1
worry about,1
russia just,1
russia isn talking,1
russia or turkey,1
russia isn in position,1
russia isn in,1
rumania from bulgaria,1
russia isn,1
russia is very weak,1
russia is very,1
worry,1
russia last,1
worries that shit happens,1
russia last army disbands,1
worries that shit,1
russia look,1
worries that,1
russia look like,1
russia not,1
russia not realizing,1
russia not realizing they,1
would be able to,1
russia open,1
russia open to,1
russia open to the,1
russia or,1
would be difficult,1
russia size makes it,1
work with you if,1
same as the,1
word might was,1
see that move,1
see that,1
see shit others dont,1
see shit others,1
see shit,1
see not under threat,1
see not under,1
see not,1
word on,1
see my luck has,1
see my luck,1
see my,1
see much point in,1
see much point,1
see much,1
word might was dropped,1
see that now dedicated,1
see you solo,1
see this,1
see you re,1
see you,1
see where we both,1
see where we,1
see where,1
see what they stand,1
see what they,1
see what he says,1
word from,1
word from the,1
word from the austrians,1
see to it,1
see to,1
see this in time,1
word might,1
see it happening is,1
see it happening,1
see it,1
see in the morning,1
see from,1
see and still don,1
see and still,1
see and,1
see,1
secret if thats the,1
secret if thats,1
secret if,1
secret,1
secondary evidence from england,1
secondary evidence from,1
secondary evidence,1
secondary,1
second turn with the,1
second turn with,1
see from my,1
see from my moves,1
see if,1
see if draw settings,1
see in the,1
see in,1
see if we can,1
see if theres room,1
see if theres,1
word on how,1
word on how discussions,1
see if can,1
work,1
work best,1
see if draw,1
see if can find,1
work best if,1
work best if we,1
see you re on,1
see your,1
same as the ones,1
wont give away,1
seen the light,1
seen the,1
seen,1
seems to want to,1
seems to want,1
seems to have written,1
seems to have,1
seems to be interested,1
seems to be,1
seems to,1
seems pretty fair right,1
seems pretty fair,1
seems pretty,1
seems like youve decided,1
seems like youve,1
wont give away anything,1
wont give,1
see your expansion,1
sell just wish,1
send way,1
send some troops over,1
wont cross for,1
send some troops,1
send some,1
send skaggerak to denmark,1
send skaggerak to,1
send skaggerak,1
wont cross for while,1
send mail,1
send it to galicia,1
send it to,1
send it,1
send,1
sell just wish they,1
wont miss,1
seems like very,1
seems like still end,1
seems like still,1
seem particularly committed to,1
wont tell me,1
wont tell me who,1
seem particularly committed,1
wooo,1
wooo going,1
wooo going to,1
wooo going to be,1
word,1
seem more imposing,1
seem more,1
seem,1
seeing here,1
seeing,1
see your expansion going,1
seem they,1
seem they had,1
wont tell,1
seems like,1
seems like russia is,1
seems like russia,1
seems like my only,1
seems like my,1
wont miss another,1
wont miss another turn,1
seems germany is on,1
seem they had italy,1
seems germany is,1
seems germany,1
seems,1
seem too inclined to,1
seem too inclined,1
seem too,1
work done,1
second turn,1
second southern fleet,1
work towards taking out,1
say truth or lie,1
say truth or,1
say truth,1
say they re moving,1
say they re,1
say they,1
say theres decent chance,1
say theres decent,1
say theres,1
say hello,1
say have to sit,1
work well,1
say have to,1
say have,1
say anything nice at,1
saying,1
work towards taking,1
second southern,1
work towards,1
work together and score,1
says hes supporting himself,1
says hes supporting,1
says hes,1
says he is going,1
says he is,1
says he,1
work together once,1
work together once see,1
says,1
saying in your candid,1
work together so,1
work together so we,1
work together somehow,1
work together somehow though,1
say anything nice,1
say anything at all,1
say anything at,1
say anything,1
same time it,1
same time even if,1
same time even,1
work with you,1
work with you for,1
ruined the,1
working,1
working out,1
working out peace,1
working out peace on,1
working russia,1
working something,1
working something out,1
working something out with,1
same from,1
same time it would,1
sandbox,1
sandbox now,1
sarcastic with dagger eyes,1
say,1
work well together,1
work well together since,1
work with,1
save the,1
save,1
sarcastic with dagger,1
work with them and,1
sarcastic with,1
sarcastic,1
work with germany,1
work with germany and,1
sandbox now but really,1
work with them,1
says russia,1
says russia isn,1
says russia isn talking,1
work it important,1
season but,1
season,1
sea to block off,1
sea to block,1
work given,1
sea or rumania,1
sea or,1
sea options for attacking,1
sea options for,1
work given all,1
work given all the,1
sea empty dont imagine,1
work it,1
sea empty dont,1
sea empty,1
season but as,1
season but as soon,1
season it,1
season yet,1
second front and puts,1
second front and,1
second front,1
work from,1
work from there,1
season yet will,1
season to leave the,1
season it would,1
season to leave,1
season to,1
season or two either,1
season or two,1
season or,1
season it would seem,1
sea anyway,1
work it important that,1
scales,1
work it out,1
work on holding,1
scooped by the,1
scooped by,1
work on holding off,1
work on the,1
scenario in which you,1
scenario in which,1
scenario in,1
work together,1
scenario,1
scandinavia,1
work together and,1
scales to me staying,1
scales to me,1
scales to,1
work on,1
score two,1
score two way,1
sea,1
work it out in,1
sea and clearly wasn,1
work long,1
work long term,1
sea and clearly,1
sea and,1
screw things up big,1
score two way victory,1
screw things up,1
screw things,1
screw,1
screenshot it,1
screenshot,1
work long term and,1
ruined the moment,1
well can really stop,1
ruined,1
really didn,1
really desperately want,1
really desperately,1
really attack are italy,1
really attack are,1
really attack,1
really am sorry and,1
really am sorry,1
wouldn either,1
really,1
realizing they were going,1
realizing they were,1
realizing they,1
realizing,1
realize the full extent,1
realize the full,1
really desperately want to,1
really didn expect,1
realize now that germany,1
really didn expect you,1
really is my opinion,1
wouldn commit,1
really is,1
really glad that you,1
really glad that,1
really glad,1
really feel,1
really experienced at this,1
really experienced at,1
really experienced,1
